xlsx_row,col0,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
6408,6373.7,PETSMART INC,28648,2665787020,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14 00:00:00,2015-03-11 00:00:00,2015-02-02 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,0.7,J.P. Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-01 00:00:00,IB,NA,NA,NA,Legal advisor: Wachtell Lipton,,
6409,6373.8,PETSMART INC,28648,2665787020,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14 00:00:00,2015-03-11 00:00:00,2015-02-02 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-03 00:00:00,Activist Sale,NA,NA,NA,,,
6410,6373.9,PETSMART INC,28648,2665787020,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14 00:00:00,2015-03-11 00:00:00,2015-02-02 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-13 00:00:00,Target Sale Public,NA,NA,NA,,,
6411,6373.95,PETSMART INC,28648,2665787020,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14 00:00:00,2015-03-11 00:00:00,2015-02-02 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-19 00:00:00,Sale Press Release,NA,NA,NA,,,
6412,6374,PETSMART INC,28648,2665787020,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14 00:00:00,2015-03-11 00:00:00,2015-02-02 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,1,Unnamed party 1,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-07 00:00:00,NDA,NA,NA,NA,"PetSmart tried to acquire a firm from the same industry in March 2014, but it was ""not for sale"" and would require antitrust clearance that seemed difficult to obtain",,
6413,6375,PETSMART INC,28648,2665787020,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14 00:00:00,2015-03-11 00:00:00,2015-02-02 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,2,Unnamed party 2,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-07 00:00:00,NDA,NA,NA,NA,"May 21, 2014: quarter earnings announcement, weaker than expected performance and guidance for remainder of year, lead to communications to sell company",,
6414,6376,PETSMART INC,28648,2665787020,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14 00:00:00,2015-03-11 00:00:00,2015-02-02 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,3,Unnamed party 3,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-07 00:00:00,NDA,NA,NA,NA,NDA first week of October,,
6415,6377,PETSMART INC,28648,2665787020,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14 00:00:00,2015-03-11 00:00:00,2015-02-02 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,4,Unnamed party 4,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-07 00:00:00,NDA,NA,NA,NA,,,
6416,6378,PETSMART INC,28648,2665787020,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14 00:00:00,2015-03-11 00:00:00,2015-02-02 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,5,Unnamed party 5,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-07 00:00:00,NDA,NA,NA,NA,,,
6417,6379,PETSMART INC,28648,2665787020,"BC Partners, Inc., La Caisse de d̩p̫t et placement du Qu̩bec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14 00:00:00,2015-03-11 00:00:00,2015-02-02 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,6,Unnamed party 6,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,NA,2014-10-07 00:00:00,NDA,NA,NA,NA,,,
