xlsx_row,col0,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
6946,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,12,CSC/Pamplona,0,1,0,0,S,19.5,19.5,19.5,19.5,dollar,1,Informal,2013-09-09 00:00:00,2013-09-09 00:00:00,NA,1,NA,NA,,Exclusivity 2 weeks,
6947,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,13,Party B,1,0,0,0,F,18.5,18.5,18.5,18.5,dollar,1,Informal,2013-09-09 00:00:00,2013-09-09 00:00:00,NA,1,NA,NA,,No firm financing commitment,
6948,6879.5,MAC GRAY CORP,65630,2575867020,"CSC SERVICEWORKS, INC.",NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-09-09 00:00:00,Final Round Inf Ext,NA,NA,NA,,,
6949,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,14,Party A,0,1,0,0,S,18,18,18,19,dollar,1,Informal,2013-09-10 00:00:00,2013-09-10 00:00:00,NA,1,NA,NA,,No firm financing commitment,
6950,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,15,Party C,1,0,0,0,F,16,16,16,17,dollar,1,Informal,2013-09-10 00:00:00,2013-09-10 00:00:00,NA,1,NA,NA,,No firm financing commitment,
6951,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-09-11 00:00:00,2013-09-11 00:00:00,Final Round Ann,NA,NA,NA,,,
6952,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,17,CSC/Pamplona,0,1,0,0,S,20.75,20.75,20.75,20.75,dollar,1,Formal,2013-09-18 00:00:00,2013-09-18 00:00:00,NA,1,NA,NA,,Exclusivity 2 weeks,
6953,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,18,Party A,0,1,0,0,S,18,18,18,19,dollar,1,Formal,2013-09-18 00:00:00,2013-09-18 00:00:00,NA,1,NA,NA,,,
6954,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,19,Party B,1,0,0,0,F,21.5,21.5,21.5,21.5,dollar,1,Formal,2013-09-18 00:00:00,2013-09-18 00:00:00,NA,0,NA,NA,"19 in cash, rest in options/earnouts (2.5 is the bidder's valuation of these)",No firm financing commitment,
6955,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,20,Party C,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-09-18 00:00:00,2013-09-18 00:00:00,Drop,NA,NA,NA,,,
6956,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-09-11 00:00:00,2013-09-18 00:00:00,Final Round,NA,NA,NA,,,
6957,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,21,CSC/Pamplona,0,1,0,0,S,21.25,21.25,21.25,21.25,dollar,1,Formal,2013-09-21 00:00:00,2013-09-21 00:00:00,NA,1,NA,NA,,Exclusivity 2 weeks,
6958,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,22,Party A,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-09-24 00:00:00,2013-09-24 00:00:00,DropTarget,NA,NA,NA,,,
6959,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,23,Party B,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-09-24 00:00:00,2013-09-24 00:00:00,DropTarget,NA,NA,NA,,,
6960,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,21,CSC/Pamplona,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,2013-09-21 00:00:00,2013-10-14 00:00:00,Executed,NA,NA,NA,,Exclusivity 2 weeks,
