xlsx_row,col0,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
6089,6069,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,10,Strategic 1,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-06-08 00:00:00,2016-06-08 00:00:00,Drop,NA,NA,NA,Deadline for indications of interest 6/9,Not a strategic fit for bidder,
6090,6070,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,11,Sponsor A,1,0,0,0,F,16.5,16.5,16.5,16.5,dollar,1,Informal,2016-06-09 00:00:00,2016-06-09 00:00:00,NA,NA,NA,NA,"F bidder, so all cash","DD, no financing ""among other conditions""",
6091,6071,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,12,Sponsor B,1,0,0,0,F,17,17,17,18,dollar,1,Informal,2016-06-09 00:00:00,2016-06-09 00:00:00,NA,NA,NA,NA,"F bidder, so all cash","DD, no financing ""among other conditions""",
6092,6072,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,13,Thoma Bravo,1,0,0,0,F,17.25,17.25,17.25,17.25,dollar,1,Informal,2016-06-09 00:00:00,2016-06-09 00:00:00,NA,1,NA,NA,,"DD, no financing ""among other conditions""",
6093,6072.5,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-09 00:00:00,2016-06-09 00:00:00,Final Round Inf,NA,NA,NA,,,
6094,6073,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,14,Strategic 2,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-06-12 00:00:00,2016-06-12 00:00:00,Drop,NA,NA,NA,,Other internal corporate priorities,
6095,6073.5,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-09 00:00:00,2016-06-12 00:00:00,Final Round Ann,NA,NA,NA,[VARIANCE OF PROPOSALS MATTERS -- ON TOP OF THE AVERAGE AND THE MAX? see the adjacent text. STRATEGIC PRESENCE MATTERS -- DD may give the target a chance that S revalues it at a higher value?],"Because Sponsor A, Sponsor B and Thoma Bravo had submitted proposals within close range of each other, the Board authorized Barclays to advance all three parties to the second phase of the strategic process. In an effort to attempt to have strategic parties involved in the process, the Board also directed Barclays to contact Strategic 3 and encourage it to continue to participate in the process and to submit a proposal.","Continued: The Board also discussed that although there were no known actual conflicts at the time, because of the potential for management conflicts of interest to arise in the context of a potential sale to a financial sponsor, the Board would form a special committee"
6096,6074,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,15,Strategic 3,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-06-14 00:00:00,2016-06-14 00:00:00,Drop,NA,NA,NA,,"Other internal corporate priorities, overlap in tech",
6097,6075,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,16,Sponsor A,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2016-06-15 00:00:00,2016-06-15 00:00:00,DropAtInf,NA,NA,NA,,After DD: confirmed in communications their informal bid basically,
6098,6076,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-24 00:00:00,2016-06-24 00:00:00,Final Round,NA,NA,NA,,,
6099,6076.5,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-24 00:00:00,2016-06-24 00:00:00,Final Round Ext Ann,NA,NA,NA,,,
6100,6077,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,18,Sponsor B,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2016-06-29 00:00:00,2016-06-29 00:00:00,DropBelowInf,NA,NA,NA,,,
6101,6078,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,19,Thoma Bravo,1,0,0,0,F,19,19,19,19,dollar,1,Formal,2016-07-08 00:00:00,2016-07-08 00:00:00,NA,1,NA,NA,,,
6102,6078.5,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-24 00:00:00,2016-07-08 00:00:00,Final Round Ext,NA,NA,NA,,,
6103,6079,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,20,Thoma Bravo,1,0,0,0,F,19.25,19.25,19.25,19.25,dollar,1,Formal,2016-07-09 00:00:00,2016-07-09 00:00:00,NA,1,NA,NA,,,
6104,6079.5,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,20.5,Thoma Bravo,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2016-07-09 00:00:00,2016-07-13 00:00:00,Executed,NA,NA,NA,,,
